participant_id,sex,age
sub-OAS30423,F,79.34
sub-OAS30427,F,66.33
sub-OAS30432,F,43.49
sub-OAS30438,F,73.49
sub-OAS30443,M,67.86
sub-OAS30444,F,55.49
sub-OAS30449,M,71.98
sub-OAS30455,F,60.87
sub-OAS30458,F,63.9
sub-OAS30462,M,51.02
sub-OAS30463,M,85.08
sub-OAS30465,M,60.47
sub-OAS30470,M,83.55
sub-OAS30473,M,70.18
sub-OAS30476,F,71.65
sub-OAS30478,M,78.36
sub-OAS30480,F,74.6
sub-OAS30482,F,54.84
sub-OAS30484,F,61.25
sub-OAS30486,M,58.18
sub-OAS30487,F,72.37
sub-OAS30490,M,75.97
sub-OAS30492,M,57.56
sub-OAS30494,M,51.59
sub-OAS30496,M,61.97
sub-OAS30499,F,57.28
sub-OAS30500,M,70.81
sub-OAS30502,F,52.73
sub-OAS30505,M,79.09
sub-OAS30507,F,56.6
sub-OAS30514,F,64.48
sub-OAS30530,F,67.25
sub-OAS30534,M,67.75
sub-OAS30535,F,52.62
sub-OAS30537,F,65.8
sub-OAS30539,F,81.9
sub-OAS30555,F,68.62
sub-OAS30557,F,86.03
sub-OAS30558,F,63.87
sub-OAS30559,M,69.31
sub-OAS30560,M,67.83
sub-OAS30561,F,70.09
sub-OAS30564,F,81.65
sub-OAS30571,F,54.72
sub-OAS30574,F,74.63
sub-OAS30579,F,60.72
sub-OAS30580,M,67.8
sub-OAS30581,F,50.47
sub-OAS30588,F,48.18
sub-OAS30589,F,74.74
sub-OAS30590,M,58.71
sub-OAS30596,F,77.11
sub-OAS30600,F,56.7
sub-OAS30601,M,67.81
sub-OAS30602,F,68.1
sub-OAS30603,M,72.11
sub-OAS30606,F,70.54
sub-OAS30608,M,57.92
sub-OAS30612,F,64.52
sub-OAS30615,M,68.11
sub-OAS30620,F,63.96
sub-OAS30622,M,75.62
sub-OAS30624,F,68.89
sub-OAS30625,M,68.16
sub-OAS30632,M,57.64
sub-OAS30633,F,55.12
sub-OAS30635,F,69.0
sub-OAS30636,F,58.42
sub-OAS30637,M,73.39
sub-OAS30638,M,42.66
sub-OAS30642,F,60.24
sub-OAS30643,M,66.93
sub-OAS30647,F,55.13
sub-OAS30651,F,67.61
sub-OAS30656,M,74.66
sub-OAS30659,F,58.09
sub-OAS30660,F,57.94
sub-OAS30662,F,82.86
sub-OAS30663,F,69.57
sub-OAS30664,F,66.66
sub-OAS30669,M,78.33
sub-OAS30671,M,68.12
sub-OAS30673,F,45.38
sub-OAS30674,F,68.19
sub-OAS30676,F,63.63
sub-OAS30679,M,72.37
sub-OAS30681,M,64.2
sub-OAS30683,F,61.64
sub-OAS30688,F,67.17
sub-OAS30690,M,59.8
sub-OAS30698,M,90.94
sub-OAS30699,M,43.77
sub-OAS30703,F,72.72
sub-OAS30706,M,80.27
sub-OAS30709,F,47.82
sub-OAS30710,F,65.71
sub-OAS30711,F,58.75
sub-OAS30715,M,52.98
sub-OAS30718,F,91.79
sub-OAS30723,M,69.12
sub-OAS30724,M,74.87
sub-OAS30725,F,60.75
sub-OAS30726,M,65.42
sub-OAS30727,M,67.17
sub-OAS30729,M,73.0
sub-OAS30731,F,72.05
sub-OAS30733,F,70.77
sub-OAS30737,F,75.23
sub-OAS30739,F,72.93
sub-OAS30742,M,58.38
sub-OAS30747,M,54.82
sub-OAS30749,M,73.37
sub-OAS30750,M,67.06
sub-OAS30754,M,65.13
sub-OAS30755,F,67.21
sub-OAS30756,F,52.95
sub-OAS30759,F,69.68
sub-OAS30762,M,68.24
sub-OAS30765,F,67.31
sub-OAS30766,M,69.09
sub-OAS30767,F,65.9
sub-OAS30768,F,67.98
sub-OAS30776,M,69.53
sub-OAS30778,F,75.73
sub-OAS30780,F,75.25
sub-OAS30784,M,79.89
sub-OAS30786,M,48.89
sub-OAS30788,F,75.53
sub-OAS30792,F,59.24
sub-OAS30794,M,64.43
sub-OAS30797,M,57.46
sub-OAS30803,F,52.55
sub-OAS30807,M,67.89
sub-OAS30808,F,82.38
sub-OAS30813,F,70.93
sub-OAS30814,M,82.34
sub-OAS30816,F,60.47
sub-OAS30817,M,73.66
sub-OAS30819,F,72.31
sub-OAS30820,F,65.85
sub-OAS30821,F,57.38
sub-OAS30822,F,66.59
sub-OAS30825,M,73.42
sub-OAS30832,F,61.18
sub-OAS30835,F,74.56
sub-OAS30842,F,75.93
sub-OAS30846,F,58.98
sub-OAS30852,F,69.12
sub-OAS30855,F,74.86
sub-OAS30857,M,50.08
sub-OAS30861,F,75.28
sub-OAS30867,F,77.04
sub-OAS30871,F,68.6
sub-OAS30875,M,66.57
sub-OAS30880,F,68.35
sub-OAS30881,F,65.61
sub-OAS30883,F,79.05
sub-OAS30887,F,61.0
sub-OAS30898,F,76.62
sub-OAS30900,M,58.06
sub-OAS30904,F,59.95
sub-OAS30905,M,68.06
sub-OAS30907,M,83.14
sub-OAS30910,M,73.3
sub-OAS30913,M,69.55
sub-OAS30919,M,58.29
sub-OAS30920,F,62.92
sub-OAS30921,M,65.19
sub-OAS30922,F,46.12
sub-OAS30927,F,67.49
sub-OAS30929,M,84.9
sub-OAS30935,M,68.96
sub-OAS30936,F,73.3
sub-OAS30938,M,69.47
sub-OAS30942,M,74.66
sub-OAS30946,F,53.58
sub-OAS30956,F,56.98
sub-OAS30959,F,69.82
sub-OAS30960,F,52.24
sub-OAS30966,M,70.32
sub-OAS30967,F,69.29
sub-OAS30968,F,59.81
sub-OAS30969,F,66.06
sub-OAS30970,F,68.94
sub-OAS30973,M,81.31
sub-OAS30978,M,69.39
sub-OAS30979,M,69.24
sub-OAS30981,F,60.06
sub-OAS30982,F,74.33
sub-OAS30986,F,54.66
sub-OAS30989,F,51.51
sub-OAS30992,F,64.5
sub-OAS30993,M,70.14
sub-OAS30996,F,75.49
sub-OAS31001,F,63.16
sub-OAS31002,M,79.81
sub-OAS31005,F,63.7
sub-OAS31006,M,68.77
sub-OAS31012,F,69.0
sub-OAS31014,F,65.79
sub-OAS31019,F,67.9
sub-OAS31021,M,61.65
sub-OAS31022,F,79.26
sub-OAS31023,F,53.81
sub-OAS31025,F,67.06
sub-OAS31028,F,66.88
sub-OAS31031,F,60.38
sub-OAS31032,F,70.97
sub-OAS31040,F,58.96
sub-OAS31045,F,70.93
sub-OAS31046,F,86.29
sub-OAS31048,M,56.45
sub-OAS31049,F,72.34
sub-OAS31056,M,67.73
sub-OAS31058,M,61.89
sub-OAS31061,F,87.81
sub-OAS31064,M,48.71
sub-OAS31065,M,49.11
sub-OAS31068,F,68.18
sub-OAS31072,M,48.59
sub-OAS31073,M,66.06
sub-OAS31076,M,72.67
sub-OAS31077,F,82.8
sub-OAS31078,F,52.18
sub-OAS31087,M,61.42
sub-OAS31088,F,69.59
sub-OAS31090,F,83.58
sub-OAS31094,F,64.26
sub-OAS31099,F,46.42
sub-OAS31100,M,85.42
sub-OAS31103,F,55.92
sub-OAS31104,M,56.79
sub-OAS31108,M,84.46
sub-OAS31110,M,66.85
sub-OAS31113,F,69.31
sub-OAS31114,M,65.98
sub-OAS31118,F,62.14
sub-OAS31125,F,71.86
sub-OAS31132,F,75.1
sub-OAS31137,F,56.89
sub-OAS31142,M,67.92
sub-OAS31146,F,68.12
sub-OAS31147,M,56.23
sub-OAS31148,F,61.36
sub-OAS31149,F,75.68
sub-OAS31153,M,64.94
sub-OAS31155,M,76.91
sub-OAS31157,F,51.47
sub-OAS31158,M,67.44
sub-OAS31159,F,73.39
sub-OAS31164,F,80.6
sub-OAS31165,M,57.0
sub-OAS31167,M,51.7
sub-OAS31168,M,65.58
sub-OAS31172,F,72.02
